Sno.,Proposal No.,File No.,Project Name,Company,Proposal Status,Project Type,View
56,SIA/TR/MIN/286906/2022,F.8(25)/TSPCB/SEIAA/2022/SM-335,Mining plan of Pabiacherra sand block mine,SWARUP PAUL,EC Granted,EC,
57,SIA/TR/MIN/287866/2022,,"M/s Satyasundar Sand Block, Block ID: UMT/UN-004",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Delisted,EC,
58,SIA/TR/IND2/429401/2023,,Drilling of Exploratory Location ADAW,"ONGC, TRIPURA ASSET",Under examination of SEIAA,EC,
59,SIA/TR/MIN/250173/2022,,BRICK EARTH MINE OF M/S MAA MANI BRICKS INDUSTRY,BRICK EARTH MINE OF M/S MAA MANI BRICKS INDUSTRY(M.M.B),Delisted,EC,
60,SIA/TR/MIN/289280/2022,F.8(25)/TSPCB/SEIAA/2022/SM-324,Sand Mining of Rabiul Miah,RABIUL MIAH,EC Granted,EC,
61,SIA/TR/MIN/401397/2022,F.8(25)/TSPCB/SEIAA/2022/SM-338,"M/s Nitya Ranjan Sand Block, Block ID: UMT/NT-002",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,EC Granted,EC,
62,SIA/TR/MIN/401737/2022,F.8(25)/TSPCB/SEIAA/2022/SM-336,M/s Parindra sand,PARINDRA DEBNATH,EC Granted,EC,
63,SIA/TR/IND2/211575/2021,No.F.8(25)/TSPCB/SEAC/2020/ONGC/TIAG,Drilling of location TIAG,"ONGC, TRIPURA ASSET",EC Granted - Processed offline,EC,
64,SIA/TR/MIN/236147/2021,,BRICK EARTH MINE OF M/S SRI BRICKS INDUSTRIES UNIT-II,M/S SRI BRICKS INDUSTRIES UNIT-II,Delisted,EC,
65,SIA/TR/MIN/278133/2022,,Excavation of SAND on JITENDRA NAGAR,TAPAN SHIL,Request for withdraw,EC,
66,SIA/TR/MIN/267507/2022,,MINING OF RIVER BED SAND OF HAMKWARI SAND,SAMANTA DEBBARMA,Delisted,EC,
67,SIA/TR/CMIN/283989/2022,,KALIMATA BRICKS,PRADIP DAS,Delisted,EC,
68,SIA/TR/MIN/401129/2022,No. F.8(25)/TSPCB/SEIAA/2022/SM-329,"M/s Nirmal Das Sand Block, Block ID: UMT/UN-005",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,EC Granted,EC,
69,SIA/TR/MIN/244429/2021,,BRICK EARTH MINE OF M/S MAA BRICKS MANUFACTURING,BRICK EARTH MINE OF MAA BRICKS MANUFACTURING,Delisted,EC,
70,SIA/TR/MIN/286302/2022,No. F.8(25)/TSPCB/SEIAA/2022/BF-289,MAA DURGA BRICKS INDUSTRY,SHIBAJIT ROY,EC Granted,EC,
75,SIA/TR/MIN/401497/2022,F.8(25)/TSPCB/SEIAA/2022/BF-293,"M/s SRI BRICKS INDUSTRIES (UNIT-II), BLOCK ID: UMT/NT/BR-02",CPC ENVIRONMENT SOLUTION PRIVATE LIMITED,Site Visit by SEAC(Pending),EC,
76,SIA/TR/MIN/239384/2021,,BRICK EARTH MINE OF M/S RAJLAXMI BRICKS INDUSTRY,M/S RAJLAXMI BRICKS INDUSTRY,Delisted,EC,
77,SIA/TR/MIN/263068/2022,,Sand Mine of ARABINDU SAND,ARABINDU DATTA,Delisted,EC,
78,SIA/TR/MIN/52072/2016,,Udaipur Cluster_01 Sand Mining Project,UDAIPUR CLUSTER ONE SAND MINES,Delisted,EC,
79,SIA/TR/MIN/286402/2022,SIA/TR/MIN/247795/2021	F.8(25)/TSPCB/SEIAA/2022/SM,Kumarghat Sand Block Mine,PARINDRA DEBNATH,Delisted,EC,
80,SIA/TR/IND2/287935/2022,F.8(25)/TSPCB/SEAC/2022/ONGC/ROBM,ROBM,"ONGC, TRIPURA ASSET",EC Granted,EC,
81,SIA/TR/MIN/402647/2022,,M/S Swapan Sarkar,SWAPAN SARKAR,Delisted,EC,
